最大深度,最小叶节点比例,最大叶节点数,CV宏平均F1,CV宏平均F1标准差,CV一致率,CV一致率标准差
3,0.1,6,0.7276241747491524,0.05843274813771574,0.76,0.059031295746841114
4,0.1,6,0.7276241747491524,0.05843274813771574,0.76,0.059031295746841114
2,0.05,6,0.7260719887250284,0.0722470761936392,0.8014285714285714,0.059633232756405134
2,0.1,6,0.7260719887250284,0.0722470761936392,0.8014285714285714,0.059633232756405134
3,0.05,6,0.7124230390326274,0.04062556073028942,0.7542857142857142,0.051408726329847367
4,0.05,6,0.697781865820928,0.05299180749302328,0.7428571428571428,0.05000000000000002
