体质标签,Bootstrap中位名次,Bootstrap名次95%区间下限,Bootstrap名次95%区间上限,位居首位频率,Bootstrap次数,体质类型,调整OR,OR点估计名次
2,3.0,1.0,8.0,0.098,500,气虚质,0.9563044927907997,2.0
3,1.0,1.0,5.0,0.712,500,阳虚质,1.5374730078494376,1.0
4,4.0,1.0,8.0,0.05,500,阴虚质,0.8397025334672399,4.0
5,6.0,3.0,8.0,0.002,500,痰湿质,0.7479101418096061,6.0
6,4.0,1.0,8.0,0.04,500,湿热质,0.8568338059283837,3.0
7,6.0,1.4750000000000014,8.0,0.026,500,血瘀质,0.7241135346313453,7.0
8,7.0,2.0,8.0,0.008,500,气郁质,0.6118436537222429,8.0
9,5.0,1.0,8.0,0.064,500,特禀质,0.803800387106436,5.0
