指标名称,痰湿终点入选频率,血脂终点入选频率,痰湿平均重要性,血脂平均重要性,共识得分,痰湿Spearman_rho,痰湿相关P值,单指标诊断AUC,风险方向
甘油三酯_TG,0.98,1.0,0.0789781061113114,0.3687716065010307,0.8589761109756888,-0.0157614110431769,0.6186058991575422,0.8482129259035888,正向
总胆固醇_TC,0.98,1.0,0.08424134362721455,0.3356532283429642,0.846363737017427,-0.03521366200089205,0.26592062844374437,0.8102813872592918,正向
血尿酸,0.98,1.0,0.07708131164637791,0.1567127214027206,0.5531917121112275,-0.009622006575595235,0.7612032876719169,0.6455336854481544,正向
低密度脂蛋白_LDL_C,0.96,1.0,0.07827819650628146,0.06240177492003209,0.3481692774355199,0.009876766064914007,0.7550802423656123,0.6310287479211214,正向
高密度脂蛋白_HDL_C,1.0,1.0,0.08296966521422294,0.04073509497195506,0.29558336448719136,0.01389841673447479,0.6606774556050732,0.6179919708073663,负向
BMI,1.0,0.62,0.10489882395388353,0.004734903225735584,0.08922214514853868,-0.02202513215730273,0.48661102223107583,0.5188728670553332,正向
血糖,0.98,0.66,0.08312867744915746,0.005415139795656681,0.08675634163288745,-0.02045921551122343,0.5181267526902141,0.5285011970685527,负向
活动量表总分,0.76,0.36,0.06123191948235759,0.0036225747620288766,0.039608793584213806,-0.017826971319360417,0.5733817731729224,0.5145049375270331,正向
