数据集,风险等级编码,风险等级,人数,占比,实际患病率,患病率95%CI下限,患病率95%CI上限
全体样本（训练折外+独立测试）,1,低危,391,0.391,0.5473145780051151,0.4977798865792652,0.5961516851342925
全体样本（训练折外+独立测试）,2,中危,140,0.14,0.85,0.7839535559185847,0.9017591667921403
全体样本（训练折外+独立测试）,3,高危,469,0.469,0.9808102345415778,0.965271716821513,0.9904634777742701
独立测试集,1,低危,111,0.37,0.5585585585585585,0.4656671935954051,0.6484402422467503
独立测试集,2,中危,33,0.11,0.7878787878787878,0.6280291821216138,0.8997635815273167
独立测试集,3,高危,156,0.52,0.9615384615384616,0.922452779404242,0.9837894689974602
